t,Z_real,Z_imag
5.155155155155155100e+00,-9.445140267688715285e-01,3.284710843237977351e-01
5.205205205205205132e+00,-9.429031843165164295e-01,3.330669377253970831e-01
5.255255255255255165e+00,-9.413514550262686020e-01,3.374276783548246783e-01
5.305305305305305197e+00,-9.398612399106728299e-01,3.415565102784203222e-01
5.355355355355356117e+00,-9.384347450620346143e-01,3.454565519140636032e-01
5.405405405405406150e+00,-9.370739884274256193e-01,3.491308353793990960e-01
5.455455455455456182e+00,-9.357808063082355687e-01,3.525823060579026391e-01
5.505505505505506214e+00,-9.345568595926232458e-01,3.558138223683473544e-01
5.555555555555556246e+00,-9.334036397292062581e-01,3.588281557239763053e-01
5.605605605605606279e+00,-9.323224744501851236e-01,3.616279906687034362e-01
5.655655655655656311e+00,-9.313145332520607056e-01,3.642159251783156360e-01
5.705705705705706343e+00,-9.303808326419441554e-01,3.665944711155403324e-01
5.755755755755756375e+00,-9.295222411573818011e-01,3.687660548284753537e-01
5.805805805805806408e+00,-9.287394841674858625e-01,3.707330178825621880e-01
5.855855855855856440e+00,-9.280331484630186534e-01,3.724976179169697255e-01
5.905905905905906472e+00,-9.274036866429787862e-01,3.740620296167623815e-01
5.955955955955956505e+00,-9.268514213050583761e-01,3.754283457928997425e-01
6.006006006006006537e+00,-9.263765490472408715e-01,3.765985785625390880e-01
6.056056056056056569e+00,-9.259791442876460499e-01,3.775746606226625390e-01
6.106106106106106601e+00,-9.256591629095730633e-01,3.783584466105501254e-01
6.156156156156156634e+00,-9.254164457385873899e-01,3.789517145449537994e-01
6.206206206206206666e+00,-9.252507218583055915e-01,3.793561673423597180e-01
6.256256256256256698e+00,-9.251616117714219767e-01,3.795734344030213259e-01
6.306306306306306730e+00,-9.251486304123466287e-01,3.796050732618825307e-01
6.356356356356356763e+00,-9.252111900177145687e-01,3.794525712997667277e-01
6.406406406406406795e+00,-9.253486028608469693e-01,3.791173475106071611e-01
6.456456456456456827e+00,-9.255600838561294230e-01,3.786007543207417503e-01
6.506506506506506859e+00,-9.258447530391213931e-01,3.779040794565841632e-01
6.556556556556556892e+00,-9.262016379280652023e-01,3.770285478572797944e-01
6.606606606606606924e+00,-9.266296757723638811e-01,3.759753236290963585e-01
6.656656656656656956e+00,-9.271277156934035757e-01,3.747455120386786742e-01
6.706706706706706989e+00,-9.276945207230209434e-01,3.733401615423720399e-01
6.756756756756757021e+00,-9.283287697447607512e-01,3.717602658490803402e-01
6.806806806806807053e+00,-9.290290593429456623e-01,3.700067660143009363e-01
6.856856856856857085e+00,-9.297939055644666162e-01,3.680805525631253294e-01
6.906906906906907118e+00,-9.306217455980623221e-01,3.659824676402072541e-01
6.956956956956957150e+00,-9.315109393757710077e-01,3.637133071847504784e-01
7.007007007007007182e+00,-9.324597711010909062e-01,3.612738231288023516e-01
7.057057057057057214e+00,-9.334664507082914842e-01,3.586647256172048603e-01
7.107107107107107247e+00,-9.345291152572147153e-01,3.558866852476607612e-01
7.157157157157157279e+00,-9.356458302677718164e-01,3.529403353295452739e-01
7.207207207207207311e+00,-9.368145909982833475e-01,3.498262741600736692e-01
7.257257257257257343e+00,-9.380333236716564826e-01,3.465450673166555751e-01
7.307307307307307376e+00,-9.392998866533442959e-01,3.430972499642259699e-01
7.357357357357357408e+00,-9.406120715849026759e-01,3.394833291764970395e-01
7.407407407407407440e+00,-9.419676044768872103e-01,3.357037862700905650e-01
7.457457457457457473e+00,-9.433641467647378986e-01,3.317590791505758419e-01
7.507507507507508393e+00,-9.447992963311996339e-01,3.276496446695311704e-01
7.557557557557558425e+00,-9.462705884987656635e-01,3.233759009917090976e-01
7.607607607607608458e+00,-9.477754969955317632e-01,3.189382499714838448e-01
7.657657657657658490e+00,-9.493114348977567118e-01,3.143370795378143123e-01
7.707707707707708522e+00,-9.508757555523855709e-01,3.095727660868763942e-01
7.757757757757758554e+00,-9.524657534826607153e-01,3.046456768816969696e-01
7.807807807807808587e+00,-9.540786652799340128e-01,2.995561724579541285e-01
7.857857857857858619e+00,-9.557116704846552180e-01,2.943046090353153010e-01
7.907907907907908651e+00,-9.573618924594935464e-01,2.888913409335371885e-01
7.957957957957958683e+00,-9.590263992574484808e-01,2.833167229926483732e-01
8.008008008008008716e+00,-9.607022044877515654e-01,2.775811129964976254e-01
8.058058058058058748e+00,-9.623862681822911158e-01,2.716848740989518118e-01
8.108108108108108780e+00,-9.640754976652202712e-01,2.656283772520508513e-01
8.158158158158158813e+00,-9.657667484283587456e-01,2.594120036353661507e-01
8.208208208208208845e+00,-9.674568250149171433e-01,2.530361470858581430e-01
8.258258258258258877e+00,-9.691424819140255220e-01,2.465012165274702016e-01
8.308308308308308909e+00,-9.708204244684908168e-01,2.398076383996541605e-01
8.358358358358358942e+00,-9.724873097981141523e-01,2.329558590841335763e-01
8.408408408408408974e+00,-9.741397477408868522e-01,2.259463473290094782e-01
8.458458458458459006e+00,-9.757743018142948088e-01,2.187795966694006111e-01
8.508508508508509038e+00,-9.773874901989043629e-01,2.114561278437838143e-01
8.558558558558559071e+00,-9.789757867463546592e-01,2.039764912051287571e-01
8.608608608608609103e+00,-9.805356220138196077e-01,1.963412691259072973e-01
8.658658658658659135e+00,-9.820633843269437335e-01,1.885510783960399339e-01
8.708708708708709167e+00,-9.835554208732013581e-01,1.806065726127918658e-01
8.758758758758759200e+00,-9.850080388275679333e-01,1.725084445616169859e-01
8.808808808808809232e+00,-9.864175065123433894e-01,1.642574285868705908e-01
8.858858858858859264e+00,-9.877800545929009690e-01,1.558543029513323186e-01
8.908908908908909297e+00,-9.890918773110795037e-01,1.472998921834106911e-01
8.958958958958959329e+00,-9.903491337578904652e-01,1.385950694108414039e-01
9.009009009009009361e+00,-9.915479491871358464e-01,1.297407586797034718e-01
9.059059059059059393e+00,-9.926844163714930724e-01,1.207379372574680226e-01
9.109109109109109426e+00,-9.937545970025414288e-01,1.115876379188865952e-01
9.159159159159159458e+00,-9.947545231361814011e-01,1.022909512132349763e-01
9.209209209209209490e+00,-9.956801986847935160e-01,9.284902771171109348e-02
