x,pi_x,psi_x
1.592992992992992995e+01,6.000000000000000000e+00,4.622086583521328507e+00
1.602802802802802518e+01,6.000000000000000000e+00,4.861700850512600702e+00
1.612612612612612395e+01,6.000000000000000000e+00,4.851031709952999371e+00
1.622422422422422272e+01,6.000000000000000000e+00,4.840473576601537431e+00
1.632232232232232150e+01,6.000000000000000000e+00,4.830024535787320161e+00
1.642042042042042027e+01,6.000000000000000000e+00,4.819682718449305625e+00
1.651851851851851904e+01,6.000000000000000000e+00,4.809446299757767385e+00
1.661661661661661782e+01,6.000000000000000000e+00,4.799313497786075189e+00
1.671471471471471659e+01,6.000000000000000000e+00,4.789282572230635360e+00
1.681281281281281181e+01,6.000000000000000000e+00,4.779351823176963165e+00
1.691091091091091059e+01,6.000000000000000000e+00,4.769519589909918089e+00
1.700900900900900581e+01,7.000000000000000000e+00,5.759597288101202750e+00
1.710710710710710458e+01,7.000000000000000000e+00,5.747932325257620434e+00
1.720520520520520336e+01,7.000000000000000000e+00,5.736380814155651819e+00
1.730330330330330213e+01,7.000000000000000000e+00,5.724940921569637631e+00
1.740140140140140090e+01,7.000000000000000000e+00,5.713610855236140651e+00
1.749949949949949968e+01,7.000000000000000000e+00,5.702388862691608828e+00
1.759759759759759845e+01,7.000000000000000000e+00,5.691273230149881179e+00
1.769569569569569722e+01,7.000000000000000000e+00,5.680262281417960857e+00
1.779379379379379245e+01,7.000000000000000000e+00,5.669354376848513510e+00
1.789189189189189122e+01,7.000000000000000000e+00,5.658547912327642315e+00
1.798998998998998999e+01,7.000000000000000000e+00,5.647841318296556778e+00
1.808808808808808877e+01,7.000000000000000000e+00,5.637233058805783514e+00
1.818618618618618399e+01,7.000000000000000000e+00,5.626721630600695967e+00
1.828428428428428276e+01,7.000000000000000000e+00,5.616305562237098314e+00
1.838238238238238154e+01,7.000000000000000000e+00,5.605983413225748890e+00
1.848048048048048031e+01,7.000000000000000000e+00,5.595753773204694248e+00
1.857857857857857908e+01,7.000000000000000000e+00,5.585615261138364041e+00
1.867667667667667430e+01,7.000000000000000000e+00,5.575566524542410640e+00
1.877477477477477308e+01,7.000000000000000000e+00,5.565606238733320943e+00
1.887287287287287185e+01,7.000000000000000000e+00,5.555733106101893526e+00
1.897097097097097063e+01,7.000000000000000000e+00,5.545945855409661007e+00
1.906906906906906940e+01,8.000000000000000000e+00,6.535012393233562200e+00
1.916716716716716817e+01,8.000000000000000000e+00,6.523657837765143519e+00
1.926526526526526339e+01,8.000000000000000000e+00,6.512400334935588120e+00
1.936336336336336217e+01,8.000000000000000000e+00,6.501238500883524729e+00
1.946146146146146094e+01,8.000000000000000000e+00,6.490170979096208548e+00
1.955955955955955972e+01,8.000000000000000000e+00,6.479196439722018752e+00
1.965765765765765849e+01,8.000000000000000000e+00,6.468313578903870820e+00
1.975575575575575371e+01,8.000000000000000000e+00,6.457521118132794058e+00
1.985385385385385248e+01,8.000000000000000000e+00,6.446817803620958465e+00
1.995195195195195126e+01,8.000000000000000000e+00,6.436202405693473239e+00
2.005005005005005003e+01,8.000000000000000000e+00,6.425673718198292583e+00
2.014814814814814881e+01,8.000000000000000000e+00,6.415230557933592870e+00
2.024624624624624403e+01,8.000000000000000000e+00,6.404871764092034070e+00
2.034434434434434280e+01,8.000000000000000000e+00,6.394596197721295283e+00
2.044244244244244157e+01,8.000000000000000000e+00,6.384402741200353226e+00
2.054054054054054035e+01,8.000000000000000000e+00,6.374290297730943244e+00
2.063863863863863912e+01,8.000000000000000000e+00,6.364257790843704576e+00
2.073673673673673434e+01,8.000000000000000000e+00,6.354304163918502724e+00
2.083483483483483312e+01,8.000000000000000000e+00,6.344428379718452859e+00
2.093293293293293189e+01,8.000000000000000000e+00,6.334629419937196637e+00
2.103103103103103066e+01,8.000000000000000000e+00,6.324906284758968766e+00
2.112912912912912944e+01,8.000000000000000000e+00,6.315257992431060785e+00
2.122722722722722466e+01,8.000000000000000000e+00,6.305683578848238824e+00
2.132532532532532343e+01,8.000000000000000000e+00,6.296182097148752987e+00
2.142342342342342221e+01,8.000000000000000000e+00,6.286752617321543113e+00
2.152152152152152098e+01,8.000000000000000000e+00,6.277394225824280305e+00
2.161961961961961975e+01,8.000000000000000000e+00,6.268106025211895194e+00
2.171771771771771853e+01,8.000000000000000000e+00,6.258887133775255407e+00
2.181581581581581375e+01,8.000000000000000000e+00,6.249736685189671626e+00
2.191391391391391252e+01,8.000000000000000000e+00,6.240653828172907147e+00
2.201201201201201130e+01,8.000000000000000000e+00,6.231637726152403189e+00
2.211011011011011007e+01,8.000000000000000000e+00,6.222687556941420617e+00
2.220820820820820884e+01,8.000000000000000000e+00,6.213802512423821867e+00
2.230630630630630407e+01,8.000000000000000000e+00,6.204981798247218627e+00
2.240440440440440284e+01,8.000000000000000000e+00,6.196224633524228587e+00
2.250250250250250161e+01,8.000000000000000000e+00,6.187530250541591670e+00
2.260060060060060039e+01,8.000000000000000000e+00,6.178897894476903296e+00
2.269869869869869916e+01,8.000000000000000000e+00,6.170326823122719517e+00
2.279679679679679438e+01,8.000000000000000000e+00,6.161816306617820871e+00
2.289489489489489316e+01,8.000000000000000000e+00,6.153365627185428011e+00
2.299299299299299193e+01,8.000000000000000000e+00,6.144974078878122192e+00
2.309109109109109070e+01,9.000000000000000000e+00,7.135381936578478523e+00
2.318918918918918948e+01,9.000000000000000000e+00,7.125759760699235557e+00
2.328728728728728470e+01,9.000000000000000000e+00,7.116203956713504475e+00
2.338538538538538347e+01,9.000000000000000000e+00,7.106713755981601821e+00
2.348348348348348225e+01,9.000000000000000000e+00,7.097288402244921635e+00
2.358158158158158102e+01,9.000000000000000000e+00,7.087927151371611778e+00
2.367967967967967979e+01,9.000000000000000000e+00,7.078629271108593635e+00
2.377777777777777857e+01,9.000000000000000000e+00,7.069394040839728000e+00
2.387587587587587379e+01,9.000000000000000000e+00,7.060220751349938872e+00
2.397397397397397256e+01,9.000000000000000000e+00,7.051108704595155707e+00
2.407207207207207134e+01,9.000000000000000000e+00,7.042057213477862732e+00
2.417017017017017011e+01,9.000000000000000000e+00,7.033065601628131880e+00
2.426826826826826888e+01,9.000000000000000000e+00,7.024133203189961705e+00
2.436636636636636410e+01,9.000000000000000000e+00,7.015259362612772165e+00
2.446446446446446288e+01,9.000000000000000000e+00,7.006443434447928276e+00
2.456256256256256165e+01,9.000000000000000000e+00,6.997684783150116772e+00
2.466066066066066043e+01,9.000000000000000000e+00,6.988982782883478073e+00
2.475875875875875920e+01,9.000000000000000000e+00,6.980336817332325694e+00
2.485685685685685442e+01,9.000000000000000000e+00,6.971746279516356282e+00
2.495495495495495319e+01,9.000000000000000000e+00,6.963210571610193966e+00
2.505305305305305197e+01,9.000000000000000000e+00,7.454400033604110298e+00
2.515115115115115074e+01,9.000000000000000000e+00,7.445366721876117033e+00
2.524924924924924952e+01,9.000000000000000000e+00,7.436390314057811146e+00
2.534734734734734474e+01,9.000000000000000000e+00,7.427470206777786466e+00
2.544544544544544351e+01,9.000000000000000000e+00,7.418605805575843704e+00
2.554354354354354228e+01,9.000000000000000000e+00,7.409796524735001277e+00
2.564164164164164106e+01,9.000000000000000000e+00,7.401041787117332404e+00
2.573973973973973983e+01,9.000000000000000000e+00,7.392341024003558303e+00
2.583783783783783505e+01,9.000000000000000000e+00,7.383693674936270490e+00
2.593593593593593383e+01,9.000000000000000000e+00,7.375099187566696912e+00
2.603403403403403260e+01,9.000000000000000000e+00,7.366557017504921312e+00
2.613213213213213137e+01,9.000000000000000000e+00,7.358066628173454582e+00
2.623023023023023015e+01,9.000000000000000000e+00,7.349627490664085272e+00
2.632832832832832892e+01,9.000000000000000000e+00,7.341239083597895565e+00
2.642642642642642414e+01,9.000000000000000000e+00,7.332900892988395647e+00
2.652452452452452292e+01,9.000000000000000000e+00,7.324612412107669890e+00
2.662262262262262169e+01,9.000000000000000000e+00,7.316373141355464682e+00
2.672072072072072046e+01,9.000000000000000000e+00,7.308182588131144186e+00
2.681881881881881924e+01,9.000000000000000000e+00,7.300040266708436754e+00
2.691691691691691446e+01,9.000000000000000000e+00,7.291945698112900942e+00
2.701501501501501323e+01,9.000000000000000000e+00,7.617175524601318415e+00
2.711311311311311201e+01,9.000000000000000000e+00,7.608808986911082428e+00
2.721121121121121078e+01,9.000000000000000000e+00,7.600490925448131208e+00
2.730930930930930955e+01,9.000000000000000000e+00,7.592220866338462493e+00
2.740740740740740478e+01,9.000000000000000000e+00,7.583998342168354334e+00
2.750550550550550355e+01,9.000000000000000000e+00,7.575822891871839992e+00
2.760360360360360232e+01,9.000000000000000000e+00,7.567694060620569374e+00
2.770170170170170110e+01,9.000000000000000000e+00,7.559611399715993052e+00
2.779979979979979987e+01,9.000000000000000000e+00,7.551574466483796932e+00
2.789789789789789509e+01,9.000000000000000000e+00,7.543582824170556478e+00
2.799599599599599387e+01,9.000000000000000000e+00,7.535636041842538546e+00
2.809409409409409264e+01,9.000000000000000000e+00,7.527733694286605548e+00
2.819219219219219141e+01,9.000000000000000000e+00,7.519875361913167744e+00
2.829029029029029019e+01,9.000000000000000000e+00,7.512060630661129501e+00
2.838838838838838896e+01,9.000000000000000000e+00,7.504289091904800202e+00
2.848648648648648418e+01,9.000000000000000000e+00,7.496560342362697860e+00
2.858458458458458296e+01,9.000000000000000000e+00,7.488873984008207252e+00
2.868268268268268173e+01,9.000000000000000000e+00,7.481229623982068588e+00
2.878078078078078050e+01,9.000000000000000000e+00,7.473626874506620332e+00
2.887887887887887928e+01,9.000000000000000000e+00,7.466065352801778410e+00
2.897697697697697450e+01,9.000000000000000000e+00,7.458544681002701182e+00
2.907507507507507327e+01,1.000000000000000000e+01,8.450297263047335861e+00
2.917317317317317205e+01,1.000000000000000000e+01,8.441859416185453213e+00
2.927127127127127082e+01,1.000000000000000000e+01,8.433466644372598964e+00
2.936936936936936959e+01,1.000000000000000000e+01,8.425118540470549533e+00
2.946746746746746481e+01,1.000000000000000000e+01,8.416814702475772236e+00
2.956556556556556359e+01,1.000000000000000000e+01,8.408554733436625739e+00
2.966366366366366236e+01,1.000000000000000000e+01,8.400338241372180548e+00
2.976176176176176114e+01,1.000000000000000000e+01,8.392164839192627568e+00
2.985985985985985991e+01,1.000000000000000000e+01,8.384034144621230311e+00
2.995795795795795513e+01,1.000000000000000000e+01,8.375945780117794115e+00
3.005605605605605390e+01,1.000000000000000000e+01,8.367899372803613289e+00
3.015415415415415268e+01,1.000000000000000000e+01,8.359894554387865995e+00
3.025225225225225145e+01,1.000000000000000000e+01,8.351930961095408890e+00
3.035035035035035023e+01,1.000000000000000000e+01,8.344008233595973323e+00
3.044844844844844545e+01,1.000000000000000000e+01,8.336126016934690242e+00
3.054654654654654422e+01,1.000000000000000000e+01,8.328283960463952695e+00
3.064464464464464299e+01,1.000000000000000000e+01,8.320481717776546660e+00
3.074274274274274177e+01,1.000000000000000000e+01,8.312718946640067941e+00
3.084084084084084054e+01,1.000000000000000000e+01,8.304995308932552334e+00
3.093893893893893932e+01,1.000000000000000000e+01,8.297310470579324360e+00
3.103703703703703454e+01,1.100000000000000000e+01,9.289316512845433138e+00
3.113513513513513331e+01,1.100000000000000000e+01,9.280790809217261739e+00
3.123323323323323208e+01,1.100000000000000000e+01,9.272307487207584131e+00
3.133133133133133086e+01,1.100000000000000000e+01,9.263866189915253457e+00
3.142942942942942963e+01,1.100000000000000000e+01,9.255466564639867499e+00
3.152752752752752485e+01,1.100000000000000000e+01,9.247108262818498403e+00
3.162562562562562363e+01,1.100000000000000000e+01,9.238790939963591242e+00
3.172372372372372240e+01,1.100000000000000000e+01,9.230514255601992346e+00
3.182182182182182117e+01,1.100000000000000000e+01,9.222277873215084298e+00
3.191991991991991995e+01,1.100000000000000000e+01,9.214081460180006289e+00
3.201801801801801162e+01,1.100000000000000000e+01,9.405892208999993898e+00
3.211611611611611750e+01,1.100000000000000000e+01,9.397598427848727454e+00
3.221421421421420916e+01,1.100000000000000000e+01,9.389344488002016931e+00
3.231231231231231504e+01,1.100000000000000000e+01,9.381130064954231074e+00
3.241041041041040671e+01,1.100000000000000000e+01,9.372954837895676405e+00
3.250850850850850549e+01,1.100000000000000000e+01,9.364818489658706113e+00
3.260660660660660426e+01,1.100000000000000000e+01,9.356720706664805931e+00
3.270470470470470303e+01,1.100000000000000000e+01,9.348661178872600175e+00
3.280280280280280181e+01,1.100000000000000000e+01,9.340639599726779707e+00
3.290090090090090058e+01,1.100000000000000000e+01,9.332655666107930514e+00
3.299899899899899935e+01,1.100000000000000000e+01,9.324709078283229147e+00
3.309709709709709102e+01,1.100000000000000000e+01,9.316799539858010348e+00
3.319519519519519690e+01,1.100000000000000000e+01,9.308926757728164247e+00
3.329329329329328857e+01,1.100000000000000000e+01,9.301090442033379091e+00
3.339139139139139445e+01,1.100000000000000000e+01,9.293290306111162025e+00
3.348948948948948612e+01,1.100000000000000000e+01,9.285526066451687655e+00
3.358758758758758489e+01,1.100000000000000000e+01,9.277797442653389126e+00
3.368568568568568367e+01,1.100000000000000000e+01,9.270104157379334353e+00
3.378378378378378244e+01,1.100000000000000000e+01,9.262445936314335881e+00
3.388188188188188121e+01,1.100000000000000000e+01,9.254822508122787283e+00
3.397997997997997999e+01,1.100000000000000000e+01,9.247233604407222529e+00
3.407807807807807876e+01,1.100000000000000000e+01,9.239678959667582347e+00
3.417617617617617753e+01,1.100000000000000000e+01,9.232158311261144945e+00
3.427427427427427631e+01,1.100000000000000000e+01,9.224671399363154833e+00
