x,pi_x,li_x,error,bound
5.994842503189409035e+04,6.052000000000000000e+03,6.078159022248027213e+03,2.615902224802721321e+01,1.071743020751020765e+02
6.280291441834259604e+04,6.302000000000000000e+03,6.337077555405851854e+03,3.507755540585185372e+01,1.101600547336490905e+02
6.579332246575682075e+04,6.572000000000000000e+03,6.607185010792384674e+03,3.518501079238467355e+01,1.132269796398538517e+02
6.892612104349695437e+04,6.850000000000000000e+03,6.888969881762031946e+03,3.896988176203194598e+01,1.163772436874972556e+02
7.220809018385471427e+04,7.145000000000000000e+03,7.182942158330100938e+03,3.794215833010093775e+01,1.196130708030067069e+02
7.564633275546290679e+04,7.452000000000000000e+03,7.489634279258480092e+03,3.763427925848009181e+01,1.229367434297002006e+02
7.924828983539185720e+04,7.766000000000000000e+03,7.809602126535963180e+03,4.360212653596317978e+01,1.263506040503036729e+02
8.302175681319752766e+04,8.108000000000000000e+03,8.143426064149100966e+03,3.542606414910096646e+01,1.298570567487176959e+02
8.697490026177834079e+04,8.448000000000000000e+03,8.491712023125724954e+03,4.371202312572495430e+01,1.334585688120419320e+02
9.111627561154904834e+04,8.809000000000000000e+03,8.855092634921216813e+03,4.609263492121681338e+01,1.371576723738836847e+02
9.545484566618347890e+04,9.201000000000000000e+03,9.234228415311019489e+03,3.322841531101948931e+01,1.409569661000072074e+02
1.000000000000000000e+05,9.592000000000000000e+03,9.629809001050798543e+03,3.780900105079854256e+01,1.448591169174091817e+02
